"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","20,935.15","21,067.15","21,152.20","20,868.65","3.30B","1.98%"
"03/30/2026","20,528.05","20,762.35","20,889.25","20,490.45","3.48B","-2.34%"
"03/27/2026","21,020.15","21,357.35","21,364.35","21,007.15","3.58B","-2.13%"
"03/25/2026","21,478.20","21,236.25","21,612.45","21,236.05","2.93B","1.95%"
"03/24/2026","21,067.00","21,045.45","21,183.15","20,743.90","2.83B","1.95%"
"03/23/2026","20,664.25","21,079.60","21,090.05","20,611.80","3.14B","-3.11%"
"03/20/2026","21,327.90","21,349.95","21,558.00","21,294.85","3.70B","0.48%"
"03/19/2026","21,225.80","21,466.40","21,562.80","21,156.20","3.29B","-3.16%"
"03/18/2026","21,917.40","21,721.45","21,990.40","21,713.40","2.90B","1.14%"
"03/17/2026","21,669.30","21,585.05","21,729.65","21,446.15","2.52B","0.79%"
"03/16/2026","21,498.80","21,355.95","21,593.25","21,110.00","3.22B","0.50%"
"03/13/2026","21,391.20","21,763.25","21,780.75","21,351.10","3.11B","-2.31%"
"03/12/2026","21,897.50","21,888.40","22,059.60","21,703.90","3.03B","-0.66%"
"03/11/2026","22,042.30","22,351.85","22,440.90","22,009.30","2.36B","-1.35%"
"03/10/2026","22,342.95","22,310.80","22,385.65","22,141.85","2.39B","1.30%"
"03/09/2026","22,056.55","21,995.15","22,090.70","21,743.15","2.56B","-1.89%"
"03/06/2026","22,481.30","22,621.55","22,701.60","22,456.45","2.32B","-0.95%"
"03/05/2026","22,697.80","22,536.75","22,760.85","22,468.20","2.71B","1.29%"
"03/04/2026","22,409.80","22,438.00","22,517.40","22,283.15","3.23B","-1.87%"
"03/02/2026","22,835.95","22,547.00","22,992.35","22,539.65","2.89B","-1.43%"
"02/27/2026","23,166.85","23,423.95","23,433.55","23,136.75","3.69B","-1.20%"
"02/26/2026","23,448.50","23,462.05","23,502.95","23,340.75","2.55B","0.19%"
"02/25/2026","23,403.80","23,388.45","23,500.10","23,325.90","2.27B","0.43%"
"02/24/2026","23,304.60","23,418.10","23,418.10","23,168.05","2.54B","-0.77%"
"02/23/2026","23,484.95","23,493.30","23,566.85","23,394.25","2.55B","0.38%"
"02/20/2026","23,395.00","23,252.75","23,467.40","23,221.15","1.78B","0.42%"
"02/19/2026","23,297.45","23,691.60","23,697.90","23,235.35","1.82B","-1.47%"
"02/18/2026","23,645.80","23,571.50","23,657.75","23,490.35","1.91B","0.45%"
"02/17/2026","23,540.05","23,445.30","23,563.25","23,394.80","1.99B","0.29%"
"02/16/2026","23,472.45","23,248.55","23,487.35","23,190.20","1.82B","0.68%"
"02/13/2026","23,313.15","23,448.70","23,464.05","23,285.00","2.23B","-1.43%"
"02/12/2026","23,651.55","23,753.80","23,753.80","23,589.05","2.27B","-0.55%"
"02/11/2026","23,783.05","23,808.10","23,811.15","23,707.15","2.64B","0.12%"
"02/10/2026","23,753.75","23,752.60","23,796.40","23,691.50","2.37B","0.30%"
"02/09/2026","23,683.40","23,600.85","23,693.05","23,535.40","2.73B","1.06%"
"02/06/2026","23,434.00","23,366.50","23,447.00","23,211.40","2.28B","0.10%"
"02/05/2026","23,411.70","23,509.75","23,509.95","23,337.35","2.51B","-0.52%"
"02/04/2026","23,534.95","23,414.10","23,562.70","23,284.45","2.89B","0.38%"
"02/03/2026","23,446.30","23,870.20","23,912.35","23,355.50","3.83B","2.67%"
"02/02/2026","22,837.00","22,595.45","22,869.70","22,408.50","2.70B","1.00%"
"02/01/2026","22,611.30","23,067.50","23,160.10","22,337.30","2.76B","-2.03%"
