"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","12,720.35","12,820.30","12,863.50","12,681.25","2.22B","1.83%"
"03/30/2026","12,492.10","12,630.60","12,715.90","12,468.00","2.62B","-2.32%"
"03/27/2026","12,789.20","12,999.10","13,003.90","12,782.15","2.43B","-2.17%"
"03/25/2026","13,072.60","12,934.00","13,157.60","12,933.65","1.83B","1.87%"
"03/24/2026","12,832.90","12,819.40","12,912.00","12,647.40","1.95B","1.89%"
"03/23/2026","12,594.30","12,830.60","12,839.55","12,568.75","2.19B","-3.01%"
"03/20/2026","12,985.40","12,990.65","13,129.20","12,964.55","2.36B","0.52%"
"03/19/2026","12,918.65","13,064.10","13,133.10","12,874.10","1.96B","-3.24%"
"03/18/2026","13,351.15","13,239.05","13,396.35","13,236.10","1.62B","1.07%"
"03/17/2026","13,209.35","13,154.60","13,247.20","13,069.85","1.71B","0.81%"
"03/16/2026","13,103.60","12,998.25","13,162.25","12,865.50","2.11B","0.66%"
"03/13/2026","13,018.25","13,231.15","13,247.50","12,995.95","2.16B","-2.25%"
"03/12/2026","13,317.80","13,318.05","13,420.90","13,217.65","2.11B","-0.73%"
"03/11/2026","13,415.70","13,617.45","13,666.40","13,395.95","1.51B","-1.48%"
"03/10/2026","13,617.75","13,608.65","13,643.90","13,500.35","1.61B","1.20%"
"03/09/2026","13,456.55","13,401.95","13,481.85","13,262.20","1.84B","-1.82%"
"03/06/2026","13,706.00","13,799.80","13,841.95","13,688.90","1.61B","-1.04%"
"03/05/2026","13,850.45","13,755.85","13,894.90","13,712.40","1.94B","1.26%"
"03/04/2026","13,678.05","13,682.35","13,743.55","13,600.30","2.10B","-1.82%"
"03/02/2026","13,931.30","13,769.90","14,019.45","13,764.60","2.01B","-1.34%"
"02/27/2026","14,121.05","14,281.35","14,288.15","14,101.75","2.70B","-1.23%"
"02/26/2026","14,297.55","14,306.50","14,328.60","14,230.15","1.82B","0.20%"
"02/25/2026","14,268.65","14,264.75","14,336.70","14,225.25","1.61B","0.38%"
"02/24/2026","14,214.45","14,290.45","14,290.45","14,134.65","1.87B","-0.81%"
"02/23/2026","14,331.00","14,336.85","14,380.45","14,274.75","1.91B","0.35%"
"02/20/2026","14,280.85","14,184.40","14,325.70","14,172.20","1.22B","0.48%"
"02/19/2026","14,211.95","14,455.20","14,458.40","14,173.75","1.18B","-1.51%"
"02/18/2026","14,429.20","14,384.75","14,435.65","14,331.65","1.20B","0.43%"
"02/17/2026","14,367.20","14,314.45","14,382.90","14,281.60","1.19B","0.23%"
"02/16/2026","14,333.65","14,184.35","14,342.70","14,150.10","1.14B","0.79%"
"02/13/2026","14,221.90","14,298.95","14,313.25","14,205.75","1.51B","-1.41%"
"02/12/2026","14,425.50","14,481.75","14,481.75","14,385.60","1.66B","-0.53%"
"02/11/2026","14,502.15","14,516.60","14,519.25","14,459.40","1.99B","0.13%"
"02/10/2026","14,483.45","14,481.25","14,507.70","14,443.60","1.60B","0.29%"
"02/09/2026","14,441.90","14,418.00","14,448.15","14,374.85","1.76B","0.88%"
"02/06/2026","14,316.00","14,270.10","14,323.55","14,182.25","1.70B","0.15%"
"02/05/2026","14,294.75","14,347.20","14,347.70","14,252.70","1.68B","-0.47%"
"02/04/2026","14,361.95","14,292.75","14,381.35","14,210.60","1.83B","0.33%"
"02/03/2026","14,314.45","14,584.90","14,613.55","14,261.25","2.93B","2.61%"
"02/02/2026","13,949.75","13,797.65","13,965.50","13,696.15","2.02B","1.04%"
"02/01/2026","13,805.80","14,089.75","14,151.60","13,637.85","2.03B","-2.04%"
